"realX","realY","avg(x)","avg(y)","CONCAT(realX, realY)"
"0","0","-516.7078653971354","-178.60899425688245","00"
"0","1","-605.1165764702691","-143.82227172851563","01"
"0","10","590.8433532714844","901.2260437011719","010"
"0","11","762.2282409667969","663.0769348144531","011"
"0","12","830.0009155273438","403.5292053222656","012"
"0","13","797.4638366699219","195.56472778320312","013"
"0","14","720.5892944335938","56.96258544921875","014"
"0","15","631.396484375","-43.5577392578125","015"
"0","16","542.271728515625","-108.6151123046875","016"
"0","17","445.8447265625","-142.81890869140625","017"
"0","18","368.9208984375","-159.228515625","018"
"0","19","307.0631408691406","-161.77001953125","019"
"0","2","-695.7027387619019","-73.65500790732247","02"
"0","20","255.58700561523438","-157.22091674804688","020"
"0","21","212.47802734375","-147.81478881835938","021"
"0","22","177.68814086914062","-135.88638305664062","022"
"0","23","150.62576293945312","-123.40377807617188","023"
"0","24","126.08062744140625","-110.0469970703125","024"
"0","25","105.38162231445312","-97.11196899414062","025"
"0","26","89.119873046875","-87.5604248046875","026"
"0","27","77.49801635742188","-77.57858276367188","027"
"0","28","-424.5018005371094","-90.765380859375","028"
"0","3","-797.1239228526573","41.03238229794353","03"
"0","4","-854.16748046875","237.78091430664062","04"
"0","5","-832.8656005859375","467.4790954589844","05"
"0","6","-716.0531616210938","705.8152770996094","06"
"0","7","-464.154052734375","935.7551574707031","07"
"0","8","-93.40972900390625","1075.0132690429687","08"
"0","9","272.97943115234375","1061.8179321289062","09"
"1","0","-424.5623779296875","-90.31082153320312","10"
"1","1","-478.4461975097656","-49.038848876953125","11"
"1","10","354.50836181640625","633.7113952636719","110"
"1","11","488.2887268066406","494.7706604003906","111"
"1","12","543.9726257324219","352.0411682128906","112"
"1","13","552.2578430175781","215.32012939453125","113"
"1","14","528.4030151367188","102.66937255859375","114"
"1","15","483.84765625","26.684417724609375","115"
"1","16","440.5815124511719","-26.6888427734375","116"
"1","17","373.8844299316406","-67.83538818359375","117"
"1","18","316.2596130371094","-92.55523681640625","118"
"1","19","265.91705322265625","-103.12728881835938","119"
"1","2","-537.8865051269531","10.923004150390625","12"
"1","20","226.2432861328125","-107.52975463867188","120"
"1","21","190.36331176757812","-105.50949096679688","121"
"1","22","164.21035766601562","-103.21441650390625","122"
"1","23","140.18936157226562","-96.9720458984375","123"
"1","24","119.56619262695312","-88.83560180664062","124"
"1","25","99.398193359375","-80.37918090820312","125"
"1","26","84.00115966796875","-72.5494384765625","126"
"1","27","72.09121704101562","-65.853271484375","127"
"1","3","-581.0646057128906","113.88656616210938","13"
"1","4","-591.6401672363281","228.19961547851562","14"
"1","5","-557.0051574707031","381.55731201171875","15"
"1","6","-453.1060791015625","531.1219787597656","16"
"1","7","-263.9503479003906","650.1026916503906","17"
"1","8","-54.692840576171875","721.6351318359375","18"
"1","9","162.11212158203125","711.0292053222656","19"
"2","0","-346.8927001953125","-32.956390380859375","20"
"2","1","-383.91082763671875","7.746429443359375","21"
"2","10","201.28021240234375","488.0865478515625","210"
"2","11","301.9828796386719","413.29193115234375","211"
"2","12","363.0720520019531","320.8601379394531","212"
"2","13","386.6191101074219","224.23324584960938","213"
"2","14","391.29364013671875","147.51815795898438","214"
"2","15","362.2613525390625","72.54592895507812","215"
"2","16","337.2611999511719","22.1990966796875","216"
"2","17","301.4057922363281","-13.0133056640625","217"
"2","18","266.0954284667969","-38.39599609375","218"
"2","19","230.7098388671875","-54.224395751953125","219"
"2","2","-406.0211181640625","61.558685302734375","22"
"2","20","197.6739501953125","-65.69686889648438","220"
"2","21","170.33905029296875","-70.61416625976562","221"
"2","22","147.42950439453125","-72.87643432617188","222"
"2","23","128.50357055664062","-68.88076782226562","223"
"2","24","111.6949462890625","-63.4814453125","224"
"2","25","93.73214721679688","-59.478912353515625","225"
"2","26","80.0921630859375","-56.048431396484375","226"
"2","27","68.1597900390625","-51.957244873046875","227"
"2","3","-422.5883483886719","129.76791381835938","23"
"2","4","-426.20849609375","216.46652221679688","24"
"2","5","-380.35552978515625","319.59259033203125","25"
"2","6","-312.3197937011719","413.9686584472656","26"
"2","7","-205.56976318359375","484.7007751464844","27"
"2","8","-67.5531005859375","533.0532836914062","28"
"2","9","75.75729370117188","530.5386352539062","29"
"3","0","-286.1848449707031","-0.31951904296875","30"
"3","1","-310.1252746582031","30.559844970703125","31"
"3","10","132.97866821289062","385.2140808105469","310"
"3","11","205.73654174804688","330.2705383300781","311"
"3","12","255.5572509765625","273.7010192871094","312"
"3","13","280.8251953125","203.232421875","313"
"3","14","290.4069519042969","145.24139404296875","314"
"3","15","285.3053283691406","92.34130859375","315"
"3","16","267.3262023925781","48.855743408203125","316"
"3","17","248.9080810546875","18.6187744140625","317"
"3","18","223.43093872070312","-5.398406982421875","318"
"3","19","196.25930786132812","-21.821746826171875","319"
"3","2","-328.77716064453125","73.3502197265625","32"
"3","20","171.93252563476562","-36.29425048828125","320"
"3","21","152.56027221679688","-45.88287353515625","321"
"3","22","133.13613891601562","-49.114227294921875","322"
"3","23","116.9244384765625","-47.13348388671875","323"
"3","24","100.81024169921875","-43.65325927734375","324"
"3","25","87.53509521484375","-42.6873779296875","325"
"3","26","75.95169067382812","-41.168212890625","326"
"3","27","65.70480346679688","-41.097869873046875","327"
"3","3","-332.20306396484375","130.46417236328125","33"
"3","4","-315.5955505371094","195.77484130859375","34"
"3","5","-285.4396057128906","266.3005065917969","35"
"3","6","-226.3427734375","331.3800048828125","36"
"3","7","-150.09918212890625","380.5070495605469","37"
"3","8","-60.602569580078125","407.8019714355469","38"
"3","9","34.935150146484375","409.4941711425781","39"
